NPN;token_frequency;preposition;reduplicated_noun;number_of_noun;syntactic_function;meaning;
stilla per stilla;1;per;stilla;sg;modifier;succession/iteration/distributivity;
stoffa contro stoffa;1;contro;stoffa;sg;modifier;juxtaposition/contact;
stomaco contro stomaco;1;contro;stomaco;sg;modifier;juxtaposition/contact;
storia dopo storia;2;dopo;storia;sg;modifier;succession/iteration/distributivity;
storie su storie;1;su;storia;sg;nominal;greater_plurality/accumulation;
storielle su storielle;1;su;storiella;pl;nominal;greater_plurality/accumulation;
strada per strada;24;per;strada;sg;modifier;succession/iteration/distributivity;
strade su strade;1;su;strade;pl;nominal;greater_plurality/accumulation;
stradina per stradina;2;per;stradina;sg;modifier;succession/iteration/distributivity;
strage dopo strage;2;dopo;strage;sg;modifier;succession/iteration/distributivity;
stragi su stragi;1;su;strage;pl;nominal;greater_plurality/accumulation;
straniero per straniero;1;per;straniero;sg;modifier;succession/iteration/distributivity;
strati su strati;3;su;strato;pl;nominal;greater_plurality/accumulation;
strato dopo strato;16;dopo;strato;sg;modifier;succession/iteration/distributivity;
strato per strato;5;per;strato;sg;modifier;succession/iteration/distributivity;
strato su strato;7;su;strato;sg;modifier;succession/iteration/distributivity;
strato su strato;1;su;strato;sg;nominal;idiosyncratic;
strettoia dopo strettoia;1;dopo;strettoia;sg;modifier;succession/iteration/distributivity;
striscia dopo striscia;1;dopo;striscia;sg;modifier;succession/iteration/distributivity;
striscia per striscia;1;per;striscia;sg;modifier;succession/iteration/distributivity;
strofa dopo strofa;1;dopo;strofa;sg;modifier;succession/iteration/distributivity;
stronzate su stronzate;1;su;stronzata;pl;nominal;greater_plurality/accumulation;
struttura per struttura;1;per;struttura;sg;modifier;succession/iteration/distributivity;
studio dopo studio;1;dopo;studio;sg;modifier;succession/iteration/distributivity;
successi dietro successi;1;dietro;successo;pl;nominal;greater_plurality/accumulation;
successi dopo successi;1;dopo;successo;pl;nominal;greater_plurality/accumulation;
successi su successi;1;su;successo;pl;nominal;greater_plurality/accumulation;
suono dopo suono;2;dopo;suono;sg;modifier;succession/iteration/distributivity;
suono per suono;2;per;suono;sg;modifier;succession/iteration/distributivity;
superficie su superficie;1;su;superficie;sg;modifier;succession/iteration/distributivity;
Svizzera su Svizzera;2;su;Svizzera;sg;modifier;connection/transition;
tanica per tanica;1;per;tanica;sg;modifier;succession/iteration/distributivity;
tappa dietro tappa;1;dietro;tappa;sg;modifier;succession/iteration/distributivity;
tappa dopo tappa;10;dopo;tappa;sg;modifier;succession/iteration/distributivity;
tappa per tappa;9;per;tappa;sg;modifier;succession/iteration/distributivity;
tappa su tappa;1;su;tappa;sg;nominal;greater_plurality/accumulation;
tariffa per tariffa;1;per;tariffa;sg;modifier;succession/iteration/distributivity;
tassa dopo tassa;1;dopo;tassa;sg;modifier;succession/iteration/distributivity;
tassa per tassa;1;per;tassa;sg;modifier;succession/iteration/distributivity;
tasse su tasse;1;su;tassa;pl;nominal;greater_plurality/accumulation;
tassello dopo tassello;3;dopo;tassello;sg;modifier;succession/iteration/distributivity;
tassello per tassello;2;per;tassello;sg;modifier;succession/iteration/distributivity;
tavola dopo tavola;2;dopo;tavola;sg;modifier;succession/iteration/distributivity;
tavola per tavola;2;per;tavola;sg;modifier;succession/iteration/distributivity;
tazza dopo tazza;2;dopo;tazza;sg;modifier;succession/iteration/distributivity;
tecnologia per tecnologia;1;per;tecnologia;sg;modifier;succession/iteration/distributivity;
teglie su teglie;1;su;teglia;pl;nominal;greater_plurality/accumulation;
tela dopo tela;1;dopo;tela;sg;modifier;succession/iteration/distributivity;
telecabina per telecabina;1;per;telecabina;sg;modifier;succession/iteration/distributivity;
telefonata dopo telefonata;3;dopo;telefonata;sg;modifier;succession/iteration/distributivity;
telefonate su telefonate;1;su;telefonata;pl;nominal;greater_plurality/accumulation;
telegiornale dopo telegiornale;1;dopo;telegiornale;sg;modifier;succession/iteration/distributivity;
telegrammi su telegrammi;2;su;telegramma;pl;nominal;greater_plurality/accumulation;
televisore per televisore;1;per;televisore;sg;modifier;succession/iteration/distributivity;
tema per tema;2;per;tema;sg;modifier;succession/iteration/distributivity;
tempia a tempia;1;a;tempia;sg;modifier;juxtaposition/contact;
tempia contro tempia;2;contro;tempia;sg;modifier;juxtaposition/contact;
tempo per tempo;18;per;tempo;sg;modifier;succession/iteration/distributivity;
tensione su tensione;1;su;tensione;sg;modifier;succession/iteration/distributivity;
tentativo dopo tentativo;1;dopo;tentativo;sg;modifier;succession/iteration/distributivity;
terminal per terminal;1;per;terminal;sg;modifier;succession/iteration/distributivity;
termine a termine;4;a;termine;sg;modifier;idiosyncratic;
terra dopo terra;1;dopo;terra;sg;modifier;succession/iteration/distributivity;
terrazzo dopo terrazzo;1;dopo;terrazzo;sg;modifier;succession/iteration/distributivity;
terre su terre;1;su;terra;pl;nominal;greater_plurality/accumulation;
terreni su terreni;1;su;terreno;pl;nominal;greater_plurality/accumulation;
terreno contro terreno;1;contro;terreno;sg;modifier;exchange;
terreno su terreno;1;su;terreno;sg;nominal;greater_plurality/accumulation;
tesi per tesi;1;per;tesi;sg;modifier;succession/iteration/distributivity;
tessuto dopo tessuto;1;dopo;tessuto;sg;modifier;succession/iteration/distributivity;
tessuto su tessuto;1;su;tessuto;sg;modifier;juxtaposition/contact;
test dopo test;2;dopo;test;sg;modifier;succession/iteration/distributivity;
testa a testa;4;a;testa;sg;modifier;juxtaposition/contact;
testa a testa;156;a;testa;sg;nominal;idiosyncratic;
testa a testa;29;a;testa;sg;modifier;idiosyncratic;
testa contro testa;10;contro;testa;sg;modifier;juxtaposition/contact;
testa dopo testa;1;dopo;testa;sg;modifier;succession/iteration/distributivity;
testa su testa;1;su;testa;sg;modifier;succession/iteration/distributivity;
testata per testata;1;per;testata;sg;modifier;succession/iteration/distributivity;
teste dopo teste;1;dopo;teste;sg;modifier;succession/iteration/distributivity;
testimonianza dopo testimonianza;1;dopo;testimonianza;sg;modifier;succession/iteration/distributivity;
testimonianze su testimonianze;1;su;testimonianza;pl;nominal;greater_plurality/accumulation;
tipo per tipo;3;per;tipo;sg;modifier;succession/iteration/distributivity;
titoli su titoli;2;su;titolo;pl;nominal;greater_plurality/accumulation;
tocco dopo tocco;1;dopo;tocco;sg;modifier;succession/iteration/distributivity;
toni su toni;1;su;tono;pl;nominal;greater_plurality/accumulation;
tono su tono;1;su;tono;sg;modifier;juxtaposition/contact;
tono su tono;26;su;tono;sg;modifier;idiosyncratic;
tornante dopo tornante;4;dopo;tornante;sg;modifier;succession/iteration/distributivity;
tornante su tornante;1;su;tornante;sg;modifier;succession/iteration/distributivity;
tornanti su tornanti;1;su;tornante;pl;nominal;greater_plurality/accumulation;
torneo dopo torneo;1;dopo;torneo;sg;modifier;succession/iteration/distributivity;
torneo per torneo;1;per;torneo;sg;modifier;succession/iteration/distributivity;
tour dopo tour;1;dopo;tour;sg;modifier;succession/iteration/distributivity;
tragedia su tragedia;1;su;tragedia;sg;modifier;succession/iteration/distributivity;
trasgressione dopo trasgressione;1;dopo;trasgressione;sg;modifier;succession/iteration/distributivity;
traversina dopo traversina;1;dopo;traversina;sg;modifier;succession/iteration/distributivity;
triangolo dopo triangolo;1;dopo;triangolo;sg;modifier;succession/iteration/distributivity;
tribunale per tribunale;1;per;tribunale;sg;modifier;succession/iteration/distributivity;
trimestre dopo trimestre;1;dopo;trimestre;sg;modifier;succession/iteration/distributivity;
tronco contro tronco;1;contro;tronco;sg;modifier;juxtaposition/contact;
tronco su tronco;1;su;tronco;sg;modifier;succession/iteration/distributivity;
tugurio per tugurio;1;per;tugurio;sg;modifier;succession/iteration/distributivity;
turno a turno;1;a;turno;sg;modifier;unclear;
tutto per tutto;115;per;tutto;sg;nominal;succession/iteration/distributivity;
tweet dopo tweet;1;dopo;tweet;sg;modifier;succession/iteration/distributivity;
udienza dopo udienza;1;dopo;udienza;sg;modifier;succession/iteration/distributivity;
udienza per udienza;1;per;udienza;sg;modifier;succession/iteration/distributivity;
udienze su udienze;1;su;udienza;pl;nominal;greater_plurality/accumulation;
ufficio dopo ufficio;1;dopo;ufficio;sg;modifier;succession/iteration/distributivity;
ufficio per ufficio;2;per;ufficio;sg;modifier;succession/iteration/distributivity;
uomo contro uomo;6;contro;uomo;sg;modifier;juxtaposition/contact;
uomo contro uomo;2;contro;uomo;sg;nominal;idiosyncratic;
uomo dopo uomo;1;dopo;uomo;sg;modifier;succession/iteration/distributivity;
uomo per uomo;3;per;uomo;sg;modifier;succession/iteration/distributivity;
uscio a uscio;2;a;uscio;sg;modifier;juxtaposition/contact;
utilitarie su utilitarie;1;su;utilitaria;pl;nominal;greater_plurality/accumulation;
vacanza dopo vacanza;1;dopo;vacanza;sg;modifier;succession/iteration/distributivity;
vacuità per vacuità;1;per;vacuità;sg;modifier;succession/iteration/distributivity;
vagone per vagone;1;per;vagone;sg;modifier;succession/iteration/distributivity;
valle dopo valle;1;dopo;valle;sg;modifier;succession/iteration/distributivity;
vasca dopo vasca;2;dopo;vasca;sg;modifier;succession/iteration/distributivity;
vasche su vasche;2;su;vasca;pl;nominal;greater_plurality/accumulation;
vela contro vela;1;contro;vela;sg;modifier;juxtaposition/contact;
veleni su veleni;1;su;veleno;pl;nominal;greater_plurality/accumulation;
velo su velo;1;su;velo;sg;modifier;succession/iteration/distributivity;
ventre contro ventre;4;contro;ventre;sg;modifier;juxtaposition/contact;
ventricolo su ventricolo;1;su;ventricolo;sg;modifier;succession/iteration/distributivity;
verbali su verbali;4;su;verbale;pl;nominal;greater_plurality/accumulation;
verde per verde;1;per;verde;sg;clause;inescapable_presupposition;
vermiciattolo per vermiciattolo;1;per;vermiciattolo;sg;modifier;succession/iteration/distributivity;
versetto per versetto;3;per;versetto;sg;modifier;succession/iteration/distributivity;
versioni su versioni;1;su;versione;pl;nominal;greater_plurality/accumulation;
verso per verso;3;per;verso;sg;modifier;succession/iteration/distributivity;
vertebra per vertebra;1;per;vertebra;sg;modifier;succession/iteration/distributivity;
vertice dopo vertice;1;dopo;vertice;sg;modifier;succession/iteration/distributivity;
vetro dopo vetro;1;dopo;vetro;sg;modifier;succession/iteration/distributivity;
via per via;3;per;via;sg;modifier;succession/iteration/distributivity;
viaggi su viaggi;1;su;viaggio;pl;nominal;greater_plurality/accumulation;
viaggio dopo viaggio;4;dopo;viaggio;sg;modifier;succession/iteration/distributivity;
viaggio su viaggio;1;su;viaggio;sg;modifier;succession/iteration/distributivity;
viale dopo viale;1;dopo;viale;sg;modifier;succession/iteration/distributivity;
vicenda per vicenda;1;per;vicenda;sg;modifier;succession/iteration/distributivity;
vicolo dopo vicolo;1;dopo;vicolo;sg;modifier;succession/iteration/distributivity;
vicolo per vicolo;2;per;vicolo;sg;modifier;succession/iteration/distributivity;
vigneti su vigneti;1;su;vigneto;pl;nominal;greater_plurality/accumulation;
villaggio per villaggio;3;per;villaggio;sg;modifier;succession/iteration/distributivity;
violenza su violenza;1;su;violenza;sg;modifier;succession/iteration/distributivity;
virata dopo virata;1;dopo;virata;sg;modifier;succession/iteration/distributivity;
visite su visite;1;su;visita;pl;nominal;greater_plurality/accumulation;
viso contro viso;3;contro;viso;sg;modifier;juxtaposition/contact;
vita per vita;1;per;vita;sg;modifier;succession/iteration/distributivity;
vita su vita;1;su;vita;sg;modifier;juxtaposition/contact;
vittime su vittime;1;su;vittima;pl;nominal;greater_plurality/accumulation;
vittoria dopo vittoria;3;dopo;vittoria;sg;modifier;succession/iteration/distributivity;
vittoria su vittoria;1;su;vittoria;sg;nominal;greater_plurality/accumulation;
voce per voce;25;per;voce;sg;modifier;succession/iteration/distributivity;
volta a volta;59;a;volta;sg;modifier;succession/iteration/distributivity;
volta dopo volta;2;dopo;volta;sg;modifier;succession/iteration/distributivity;
volta per volta;104;per;volta;sg;modifier;succession/iteration/distributivity;
volto contro volto;1;contro;volto;sg;modifier;unclear;
volumi su volumi;1;su;volume;pl;nominal;greater_plurality/accumulation;
voti su voti;1;su;voto;pl;nominal;greater_plurality/accumulation;
voto dopo voto;1;dopo;voto;sg;modifier;succession/iteration/distributivity;
voto per voto;6;per;voto;sg;modifier;succession/iteration/distributivity;
voto su voto;3;su;voto;sg;modifier;succession/iteration/distributivity;
vuoto su vuoto;2;su;vuoto;sg;nominal;greater_plurality/accumulation;
zanzara per zanzara;1;per;zanzara;sg;modifier;succession/iteration/distributivity;
zero su zero;1;su;zero;sg;nominal;intensification;
zolla a zolla;1;a;zolla;sg;modifier;succession/iteration/distributivity;
zolletta per zolletta;1;per;zolletta;sg;modifier;succession/iteration/distributivity;
zona per zona;18;per;zona;sg;modifier;succession/iteration/distributivity;
